king_kor,king_eng,city_ID_t,city_kor_t,city_eng_t,city_color_t,long_t,lat_t,city_ID_s,city_kor_s,city_eng_s,city_color_s,long_s,lat_s,count
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
혜종,Hyejong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
혜종,Hyejong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
혜종,Hyejong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
혜종,Hyejong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,3
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,4
정종,Jeongjong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,2
