measureType,king_kor,king_eng,city_ID,city_kor,city_eng,city_color,score,long,lat
frequency,목종,Mokjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,목종,Mokjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,목종,Mokjong,15,불명,unknown,#AAACB9,5,0,0
frequency,목종,Mokjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,목종,Mokjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,목종,Mokjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,목종,Mokjong,19,청주,Cheongju,#9C17F3,4,127.509353,36.652229
frequency,목종,Mokjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,목종,Mokjong,21,선산,Seonsan,#F35D17,2,128.301303,36.262579
frequency,목종,Mokjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,목종,Mokjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,목종,Mokjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,목종,Mokjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,목종,Mokjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,현종,Hyeonjong,0,개경,Gaegyeong,#17ADF3,21,126.619833,37.952269
frequency,현종,Hyeonjong,1,정주,Jeongju,#70C459,7,125.206375,39.68846
frequency,현종,Hyeonjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,현종,Hyeonjong,3,충주,Chungju,#7117F3,5,127.898682,36.985383
frequency,현종,Hyeonjong,4,황주,Hwangju,#69DE82,8,125.77577,38.669308
frequency,현종,Hyeonjong,5,경주,Gyeongju,#F32817,16,129.220572,35.833987
frequency,현종,Hyeonjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,현종,Hyeonjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,현종,Hyeonjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,현종,Hyeonjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,현종,Hyeonjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,현종,Hyeonjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,현종,Hyeonjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
frequency,현종,Hyeonjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,현종,Hyeonjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,현종,Hyeonjong,15,불명,unknown,#AAACB9,8,0,0
frequency,현종,Hyeonjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,현종,Hyeonjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,현종,Hyeonjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,현종,Hyeonjong,19,청주,Cheongju,#9C17F3,7,127.509353,36.652229
frequency,현종,Hyeonjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,현종,Hyeonjong,21,선산,Seonsan,#F35D17,2,128.301303,36.262579
frequency,현종,Hyeonjong,22,안산,Ansan,#3517F3,7,126.823336,37.315094
frequency,현종,Hyeonjong,23,이천,Icheon,#4917F3,2,127.42989,37.275543
frequency,현종,Hyeonjong,24,서천,Seocheon,#B06ECD,2,126.708324,36.085376
frequency,현종,Hyeonjong,25,양주,Yangju,#A2D6E2,2,127.105452,37.845503
frequency,현종,Hyeonjong,26,전주,Jeonju,#DE699E,2,127.145666,35.816365
degree,태조,Taejo,0,개경,Gaegyeong,#17ADF3,0.98361,126.619833,37.952269
degree,태조,Taejo,1,정주,Jeongju,#70C459,0.13115,125.206375,39.68846
degree,태조,Taejo,2,나주,Naju,#F31735,0.2623,126.718034,34.987771
degree,태조,Taejo,3,충주,Chungju,#7117F3,0.06557,127.898682,36.985383
degree,태조,Taejo,4,황주,Hwangju,#69DE82,0.13115,125.77577,38.669308
degree,태조,Taejo,5,경주,Gyeongju,#F32817,0.27869,129.220572,35.833987
degree,태조,Taejo,6,명주,Myeongju,#DEC069,0.13115,128.896978,37.788721
degree,태조,Taejo,7,평주,Pyeongju,#69DCDE,0.47541,126.408036,38.329214
