name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
Punch,443,drama,38533069000,5311232,629,8443.930048,0.52,0.25,0.07,0.09,0.03,0.04,0
King And The Clown,444,drama,66015436400,10513715,313,33590.14377,0.3,0.42,0.04,0.19,0.03,0.01,0.02
No Mercy,445,crime,8737627361,1144238,334,3425.862275,0.1,0.42,0.07,0.09,0.08,0.09,0.15
Suspect X,446,mystery,636382007,94790,144,658.2638889,0.17,0.42,0.06,0.16,0.05,0.03,0.11
Maundy Thursday,447,drama,14938924000,2472160,414,5971.400966,0.14,0.26,0.08,0.47,0.02,0.02,0.02
On The Way Home,448,drama,1427488305,219962,211,1042.473934,0.26,0.4,0.08,0.19,0.04,0.01,0.02
My Brother__,449,drama,11090682500,1778607,211,8429.417062,0.19,0.37,0.09,0.29,0.03,0.03,0.01
The Show Must Go On,450,action,6161685500,960658,405,2371.995062,0.23,0.33,0.08,0.25,0.05,0.04,0.02
War Of The Worlds,451,drama,16758594690,2642874,401,6590.708229,0.18,0.14,0.05,0.3,0.08,0.04,0.21
Don't cry for me sudan,452,drama,2529354000,444199,76,5844.723684,0.18,0.52,0.03,0.24,0.03,0,0
Old Partner,453,drama,19075921900,2934435,274,10709.61679,0.14,0.42,0.06,0.31,0.04,0.03,0.01
Love On-Air,454,drama,7255598000,986287,474,2080.774262,0.3,0.39,0.15,0.1,0.03,0.01,0.01
Holy Daddy,455,comedy,2355829200,508285,179,2839.581006,0.4,0.29,0.06,0.18,0.04,0.03,0
One Piece Film : Strong World,456,fantasy,972367000,143431,76,1887.25,0.41,0.35,0.04,0.1,0.07,0.02,0.01
World War Z,457,drama,38555357000,5237525,964,5433.11722,0.17,0.12,0.05,0.11,0.03,0.02,0.5
Warm Bodies,458,meloromance,8361708124,1169839,477,2452.492662,0.28,0.2,0.06,0.05,0.04,0.02,0.35
Wedding Dress,459,drama,1014636235,146148,183,798.6229508,0.06,0.28,0.09,0.54,0.01,0.01,0
Welcome To Dongmakgol,460,war,4032935500,6436900,356,18081.17978,0.35,0.39,0.05,0.15,0.03,0.02,0.01
Meet the In-Laws,461,comedy,19174920500,2595625,524,4953.482824,0.57,0.15,0.11,0.09,0.05,0.02,0.01
City of Damnation,462,comedy,10300187478,1534911,375,4093.096,0.43,0.08,0.1,0.25,0.06,0.08,0.01
Twilight Gangsters,463,comedy,8784927671,1233582,319,3867.028213,0.48,0.22,0.07,0.16,0.04,0.02,0.01
Secretly Greatly,464,action,48700887413,6959083,1341,5189.472782,0.44,0.2,0.09,0.16,0.05,0.03,0.02
Forbidden Quest,465,historicaldrama,14944551700,2304368,347,6640.829971,0.4,0.2,0.18,0.14,0.05,0.02,0.01
Love Clinique,466,meloromance,2248238000,338168,360,939.3555556,0.52,0.16,0.14,0.1,0.05,0.02,0
The Client,467,thriller,17797042500,2393086,522,4584.455939,0.22,0.32,0.15,0.08,0.02,0.01,0.18
Secret Reunion,468,drama,40800867602,5507106,572,9627.807692,0.45,0.31,0.06,0.09,0.02,0.02,0.05
Eagle Eye,469,action,14577167667,2258369,330,6843.542424,0.25,0.16,0.13,0.15,0.05,0.03,0.24
Moss,470,drama,25856306126,3408144,736,4630.630435,0.22,0.2,0.13,0.14,0.05,0.03,0.22
Alice In Wonderland,471,fantasy,20661000236,2182365,401,5442.306733,0.44,0.17,0.13,0.16,0.05,0.02,0.02
The Neighbors,472,thriller,18087442369,2434099,600,4056.831667,0.26,0.13,0.08,0.12,0.05,0.06,0.31
Small Town Rivals,473,comedy,7594186000,1179661,315,3744.955556,0.46,0.18,0.1,0.15,0.03,0.07,0.01
Villain & Widow,474,comedy,4332815318,605224,384,1576.104167,0.58,0.15,0.07,0.11,0.04,0.01,0.03
The Twilight Saga : Eclipse,475,fantasy,15192541723,2105050,535,3934.672897,0.4,0.2,0.11,0.14,0.08,0.03,0.04
The Case of Itaewon Homicide,476,crime,4023152210,537075,236,2275.741525,0.16,0.09,0.14,0.24,0.15,0.12,0.11
Eternal Sunshine Of The Spotless Mind,477,drama,1116013000,170863,79,2162.822785,0.13,0.56,0.08,0.17,0.03,0.01,0.02
If Only,478,comedy,5521046000,859434,82,10480.90244,0.11,0.56,0.05,0.23,0.02,0.01,0.01
The Expendables,479,thriller,3025538174,398097,256,1555.066406,0.39,0.15,0.08,0.13,0.17,0.07,0.01
The ExpendablesII,480,action,3208867228,444434,393,1130.875318,0.36,0.18,0.09,0.1,0.18,0.06,0.04
Indiana Jones And The Kingdom Of The Crystal Skull,481,action,26693951667,4136101,660,6266.819697,0.4,0.14,0.12,0.19,0.09,0.01,0.05
Dooms day Book,482,sf,704635000,97916,236,414.8983051,0.18,0.15,0.08,0.16,0.22,0.13,0.09
The Invasion,483,sf,3732360000,556157,202,2753.252475,0.15,0.14,0.07,0.17,0.04,0.03,0.41
Insadong Scandal,484,drama,7900084842,1206101,314,3841.085987,0.35,0.34,0.1,0.1,0.03,0.01,0.07
Inception,485,drama,44106546302,5926948,528,11225.2803,0.26,0.45,0.08,0.07,0.04,0.01,0.08
Insidious,486,horror,368598500,51800,178,291.011236,0.09,0.17,0.04,0.07,0.04,0.02,0.57
The Incredibles,487,family,5611807500,898679,189,4754.915344,0.55,0.29,0.05,0.05,0.03,0.01,0.02
The Incredible Hulk,488,action,6449106000,991417,417,2377.498801,0.42,0.23,0.08,0.12,0.07,0.01,0.07
In Time,489,sf,4579554500,616943,304,2029.417763,0.25,0.32,0.07,0.22,0.05,0.04,0.05
The Book Of Eli,490,action,1661141088,222927,252,884.6309524,0.23,0.33,0.09,0.13,0.11,0.07,0.04
The Illusionist,491,drama,126141600,16223,17,954.2941176,0.22,0.53,0.13,0.06,0.02,0.01,0.03
Sinking Of Japan,492,drama,4672989200,773025,211,3663.625592,0.15,0.11,0.26,0.19,0.16,0.09,0.04
Journey To The Center Of The Earth 3D,493,sf,9339002945,1438353,316,4551.75,0.41,0.16,0.09,0.12,0.03,0.03,0.16
Code Name Jackal,494,comedy,1430079500,210278,300,700.9266667,0.5,0.18,0.09,0.11,0.07,0.04,0.02
The Art Of Seduction,495,comedy,11706585100,1853623,260,7129.319231,0.56,0.15,0.07,0.14,0.05,0.03,0
